emoji,english,category,subcategory,hebrew_masculine,translit_masculine,hebrew_feminine,translit_feminine
🧑‍🌾,Farmer,Person,Profession,חַקְלַאי,chaklay,חַקְלָאִית,chaklait
🧑‍🍳,Cook,Person,Profession,טַבָּח,tabach,טַבָּחִית,tabachit
🧑‍🔧,Mechanic,Person,Profession,מְכוֹנַאי,mechonay,מְכוֹנָאִית,mechonait
🧑‍🏭,Factory Worker,Person,Profession,פּוֹעֵל,poel,פּוֹעֶלֶת,poelet
🧑‍💼,Office Worker,Person,Profession,פָּקִיד,pakid,פְּקִידָה,pekida
🧑‍🔬,Scientist,Person,Profession,מַדְעָן,madan,מַדְעָנִית,madanit
🧑‍💻,Technologist,Person,Profession,מְתַכְנֵת,metachnet,מְתַכְנֶתֶת,metachnetet
🧑‍🎤,Singer,Person,Profession,זַמָּר,zamar,זַמֶּרֶת,zameret
🧑‍🎨,Artist,Person,Profession,אָמָּן,aman,אָמָּנִית,amanit
🧑‍✈️,Pilot,Person,Profession,טַיָּס,tayas,טַיֶּסֶת,tayeset
🧑‍🚀,Astronaut,Person,Profession,אַסְטְרוֹנָאוּט,astronaut,אַסְטְרוֹנָאוּטִית,astronautit
🧑‍🚒,Firefighter,Person,Profession,כַּבַּאי,kabay,כַּבָּאִית,kabait
🥷,Ninja,Person,Profession,נִינְגָ'ה,ninga'h,,
🤰,Pregnant Woman,Person,Profession,,,אִשָּׁה בְּהֵרָיוֹן,isha beherayon
🫃,Pregnant Man,Person,Profession,גֶּבֶר בְּהֵרָיוֹן,gever beherayon,,
🫄,Pregnant Person,Person,Profession,אָדָם בְּהֵרָיוֹן,adam beherayon,,
🤱,Breast-Feeding,Person,Profession,,,מֵינִיקָה,meynika
🧛,Vampire,Person,Profession,עֲרְפַד,arfad,עֲרְפַדָה,arfada
🧜,Merperson,Person,Profession,בַּת יָם,bat yam,בַּת יָם,bat yam
🧝,Elf,Person,Profession,שֵׁדוֹן,shedon,שֵׁדוֹנָה,shedona
🧞,Genie,Person,Profession,שֵׁד,shed,שֵׁדָה,sheda
🧟,Zombie,Person,Profession,זוֹמְבִּי,zombi,,
🧌,Troll,Person,Profession,טְרוֹל,terol,,
💆,Person Getting Massage,Person,Person,מְקַבֵּל עִסּוּי,mekabel isuy,מְקַבֶּלֶת עִסּוּי,mekabelet isuy
💇,Person Getting Haircut,Person,Person,מִסְתַּפֵּר,mistaper,מִסְתַּפֶּרֶת,mistaperet
🚶,Person Walking,Person,Person,הוֹלֵךְ,holech,הוֹלֶכֶת,holechet
🧍,Person Standing,Person,Person,עוֹמֵד,omed,עוֹמֶדֶת,omedet
🧎,Person Kneeling,Person,Person,כּוֹרֵעַ,korea,כּוֹרַעַת,koraat
🏃‍♀️,Woman Running,Person,Person,,,רָצָה,ratza
🏃‍♂️,Man Running,Person,Person,רָץ,ratz,,
💃,Woman Dancing,Person,Person,,,רוֹקֶדֶת,rokedet
🕺,Man Dancing,Person,Person,רוֹקֵד,roked,,
🕴️,Person in Suit Levitating,Person,Person,אִישׁ עָסָקִים מְרַחֵף,ish asakim merachef,,
👯,People with Bunny Ears,Person,Person,אֲנָשִׁים עִם אָזְנֵי אַרְנָב,anashim im azney arnav,,
🧖,Person in Steamy Room,Person,Person,בְּסָאוּנָה,besauna,בְּסָאוּנָה,besauna
🧗,Person Climbing,Person,Person,מְטַפֵּס,metapes,מְטַפֶּסֶת,metapeset
👫,Woman and Man Holding Hands,Person,Family,זוּג מַחֲזִיק יָדַיִם,zug machazik yadayim,,
👭,Women Holding Hands,Person,Family,,,נָשִׁים מַחֲזִיקוֹת יָדַיִם,nashim machazikot yadayim
👬,Men Holding Hands,Person,Family,גְּבָרִים מַחֲזִיקִים יָדַיִם,gevarim machazikim yadayim,,
💏,Kiss,Person,Family,,,נְשִׁיקָה,neshika
💑,Couple with Heart,Person,Family,זוּג מְאֹהָב,zug meohav,,
👨‍👩‍👦,"Family: Man, Woman, Boy",Person,Family,,,מִשְׁפָּחָה,mishpacha
👨‍👩‍👧‍👦,"Family: Man, Woman, Girl, Boy",Person,Family,,,מִשְׁפָּחָה,mishpacha
👨‍👨‍👦,"Family: Man, Man, Boy",Person,Family,,,מִשְׁפָּחָה שֶׁל שְׁנֵי גְּבָרִים,mishpacha shel sheney gevarim
👩‍👩‍👦,"Family: Woman, Woman, Boy",Person,Family,,,מִשְׁפָּחָה שֶׁל שְׁתֵּי נָשִׁים,mishpacha shel shetey nashim
👨‍👧,"Family: Man, Girl",Person,Family,אַבָּא וּבַת,aba uvat,,
👩‍👦,"Family: Woman, Boy",Person,Family,,,אִמָּא וּבֵן,ima uven
🗣️,Speaking Head,Person,Person,רֹאשׁ מְדַבֵּר,rosh medaber,,
👤,Bust in Silhouette,Person,Person,דְּמוּת אָדָם,demut adam,,
👥,Busts in Silhouette,Person,Person,דְּמֻיּוֹת אֲנָשִׁים,demuyot anashim,,
🫂,People Hugging,Person,Person,אֲנָשִׁים מִתְחַבְּקִים,anashim mitchabkim,,
👣,Footprints,Person,Person,עִקְבוֹת רַגְלַיִם,ikvot raglayim,,
🐈,Cat (Full Body),Animal,Mammal,חָתוּל,chatul,חֲתוּלָה,chatula
🐈‍⬛,Black Cat,Animal,Mammal,חָתוּל שָׁחוֹר,chatul shachor,חֲתוּלָה שְׁחוֹרָה,chatula shechora
🐕,Dog (Full Body),Animal,Mammal,כֶּלֶב,kelev,כַּלְבָּה,kalba
🐩,Poodle,Animal,Mammal,פּוּדֶל,pudel,,
🦮,Guide Dog,Animal,Mammal,כֶּלֶב נְחִיָּה,kelev nechiya,כַּלְבַּת נְחִיָּה,kalbat nechiya
🐕‍🦺,Service Dog,Animal,Mammal,כֶּלֶב שֵׁרוּת,kelev sherut,כַּלְבַּת שֵׁרוּת,kalbat sherut
🦝,Raccoon,Animal,Mammal,דְּבִיבוֹן,devivon,,
🐅,Tiger,Animal,Mammal,נָמֵר,namer,נְמֵרָה,nemera
🐆,Leopard,Animal,Mammal,בַּרְדְּלָס,bardlas,בַּרְדְּלָסָה,bardlasa
🐎,Horse (Full Body),Animal,Mammal,סוּס,sus,סוּסָה,susa
🐄,Cow (Full Body),Animal,Mammal,,,פָּרָה,para
🐖,Pig (Full Body),Animal,Mammal,חֲזִיר,chazir,חֲזִירָה,chazira
🐽,Pig Nose,Animal,Mammal,חֹטֶם חֲזִיר,chotem chazir,,
🐫,Two-Hump Camel,Animal,Mammal,גָּמָל דּוּ-דַּבַּשְׁתִּי,gamal du-dabashti,,
🦣,Mammoth,Animal,Mammal,מַמּוּתָה,mamuta,,
🐁,Mouse (Full Body),Animal,Mammal,עַכְבָּר,achbar,עַכְבָּרָה,achbara
🐀,Rat,Animal,Mammal,חֻלְדָּה,chulda,חֻלְדָּה,chulda
🐇,Rabbit (Full Body),Animal,Mammal,אַרְנָב,arnav,אַרְנֶבֶת,arnevet
🦥,Sloth,Animal,Mammal,עַצְלָן,atzlan,,
🦦,Otter,Animal,Mammal,,,לוּטְרָה,lutra
🦨,Skunk,Animal,Mammal,בּוֹאֵשׁ,boesh,,
🦡,Badger,Animal,Mammal,גִּירִית,girit,,
🐾,Paw Prints,Animal,Mammal,עִקְבוֹת חַיּוֹת,ikvot chayot,,
🐉,Dragon,Animal,Mythical,דְּרָקוֹן,derakon,,
🐲,Dragon Face,Animal,Mythical,פְּנֵי דְּרָקוֹן,peney derakon,,
🦚,Peacock,Animal,Bird,טַוָּס,tavas,,
🦩,Flamingo,Animal,Bird,פְלָמִינְגּוֹ,pelamingo,,
🦤,Dodo,Animal,Bird,דּוֹדוֹ,dodo,,
🪶,Feather,Animal,Bird,,,נוֹצָה,notza
🪿,Goose,Animal,Bird,,,אַוָּז,avaz
🐣,Hatching Chick,Animal,Bird,אֶפְרוֹחַ בּוֹקֵעַ,efroach bokea,,
🐥,Front-Facing Baby Chick,Animal,Bird,אֶפְרוֹחַ,efroach,,
🦕,Sauropod,Animal,Reptile,דִּינוֹזָאוּר,dinozaur,,
🐋,Whale,Animal,Sea Creature,,,לִוְיָתָן,livyatan
🦐,Shrimp,Animal,Sea Creature,,,חָסִילוֹן,chasilon
🐚,Spiral Shell,Animal,Sea Creature,,,קוֹנְכִיָּה,konchiya
🪸,Coral,Animal,Sea Creature,אַלְמוֹג,almog,,
🪼,Jellyfish,Animal,Sea Creature,,,מֵדוּזָה,meduza
🪳,Cockroach,Animal,Insect,גַּ'וּק,ga'uk,,
🪲,Beetle,Animal,Insect,,,חִפּוּשִׁית,chipushit
🕸️,Spider Web,Animal,Insect,קוּרֵי עַכָּבִישׁ,kurey akavish,,
🪴,Potted Plant,Plant,Other,,,עֲצִיץ,atzitz
🍁,Maple Leaf,Plant,Other,עֲלֵה אֶדֶר,ale eder,,
🪺,Nest with Eggs,Plant,Other,קֵן עִם בֵּיצִים,ken im beytzim,,
🪹,Empty Nest,Plant,Other,קֵן רֵיק,ken reyk,,
☘️,Shamrock,Plant,Other,תִּלְתָּן,tiltan,,
🌺,Hibiscus,Plant,Flower,הִיבִּיסְקוּס,hibiskus,,
🪵,Wood,Plant,Tree,עֵץ,etz,,
💐,Bouquet,Plant,Flower,זֵר פְּרָחִים,zer perachim,,
🥀,Wilted Flower,Plant,Flower,פֶּרַח קָמוּל,perach kamul,,
🥗,Green Salad,Food,Dish,סָלָט יָרוֹק,salat yarok,,
🍱,Bento Box,Food,Dish,קֻפְסַת בֶּנְטּוֹ,kufsat bento,,
🍘,Rice Cracker,Food,Dish,קְרָקֶר אֹרֶז,keraker orez,,
🍙,Rice Ball,Food,Dish,כַּדּוּר אֹרֶז,kadur orez,,
🍚,Cooked Rice,Food,Dish,אֹרֶז מְבֻשָּׁל,orez mevushal,,
🍛,Curry Rice,Food,Dish,קָארִי עִם אֹרֶז,kari im orez,,
🍢,Oden,Food,Dish,אוֹדֶן,oden,,
🍤,Fried Shrimp,Food,Dish,חָסִילוֹן מְטֻגָּן,chasilon metugan,,
🍥,Fish Cake with Swirl,Food,Dish,עוּגַת דָּג,ugat dag,,
🥮,Moon Cake,Food,Dish,עוּגַת יָרֵחַ,ugat yareach,,
🍡,Dango,Food,Dish,דַּנְגּוֹ,dango,,
🥠,Fortune Cookie,Food,Dish,עוּגִית מַזָּל,ugit mazal,,
🥡,Takeout Box,Food,Dish,קֻפְסַת טֵייקאַוּט,kufsat teyykaut,,
🍧,Shaved Ice,Food,Sweet,קֶרַח גָּרוּד,kerach garud,,
🍨,Ice Cream,Food,Sweet,גְּלִידָה,gelida,,
🥧,Pie,Food,Sweet,פַּאי,pay,,
🍮,Custard,Food,Sweet,קַסְטָרְד,kastard,,
🍠,Roasted Sweet Potato,Food,Dish,בָּטָטָה צְלוּיָה,batata tzeluya,,
🍗,Poultry Leg,Food,Dish,שׁוֹק עוֹף,shok of,,
🍖,Meat on Bone,Food,Dish,בָּשָׂר עַל עֶצֶם,basar al etzem,,
🥩,Cut of Meat,Food,Dish,נֵתַח בָּשָׂר,netach basar,,
🥘,Shallow Pan of Food,Food,Dish,תַּבְשִׁיל,tavshil,,
🥣,Bowl with Spoon,Food,Dish,קְעָרָה עִם כַּף,keara im kaf,,
🫕,Fondue,Food,Dish,פוֹנְדּוּ,pondu,,
🫔,Tamale,Food,Dish,טָמָאלֶה,tamale,,
🫘,Beans,Food,Dish,שְׁעוּעִית,sheuit,,
🫓,Flatbread,Food,Dish,פִּיתָה,pita,,
🍶,Sake,Food,Drink,סָאקֵי,sakey,,
🍾,Bottle with Popping Cork,Food,Drink,בַּקְבּוּק שַׁמְפַּנְיָה,bakbuk shampanya,,
🍸,Cocktail Glass,Food,Drink,כּוֹס קוֹקְטֵיל,kos kokteyl,,
🍹,Tropical Drink,Food,Drink,מַשְׁקֶה טְרוֹפִּי,mashke teropi,,
🍻,Clinking Beer Mugs,Food,Drink,קוֹסוֹת בִּירָה,kosot bira,,
🥃,Tumbler Glass,Food,Drink,כּוֹס וִיסְקִי,kos viski,,
🫗,Pouring Liquid,Food,Drink,יוֹצֵק,yotzek,,
🧉,Mate,Food,Drink,מַאטֶה,mate,,
🧋,Bubble Tea,Food,Drink,תֵּה בּוּעוֹת,te buot,,
🍋‍🟩,Lime,Food,Fruit,,,לַיִם,layim
🫛,Pea Pod,Food,Vegetable,,,תַּרְמִיל אֲפוּנָה,tarmil afuna
🫚,Ginger Root,Food,Vegetable,זַנְגְּבִיל,zangvil,,
🫜,Leafy Green,Food,Vegetable,יָרָק עָלִים,yarak alim,,
🥎,Softball,Activity,Sport,סוֹפְטְבּוֹל,softbol,,
🏉,Rugby Football,Activity,Sport,רַגְבִּי,ragbi,,
🥏,Flying Disc,Activity,Sport,פְרִיזְבִּי,perizbi,,
🎱,Pool 8 Ball,Activity,Sport,בִּילְיַארְד,bilyard,,
🪀,Yo-Yo,Activity,Sport,יוֹ-יוֹ,yo-yo,,
🥅,Goal Net,Activity,Sport,שַׁעַר,shaar,,
🏒,Ice Hockey,Activity,Sport,הוֹקִי קֶרַח,hoki kerach,,
🏑,Field Hockey,Activity,Sport,הוֹקִי שָׂדֶה,hoki sade,,
🥍,Lacrosse,Activity,Sport,לָקְרוֹס,lakros,,
🏏,Cricket Bat,Activity,Sport,קְרִיקֶט,keriket,,
🪃,Boomerang,Activity,Sport,בּוּמֶרַנְג,bumerang,,
🪁,Kite,Activity,Sport,,,עֲפִיפוֹן,afifon
🤿,Diving Mask,Activity,Sport,מַסֵּכַת צְלִילָה,masechat tzelila,,
🥊,Boxing Glove,Activity,Sport,כְּפָפַת אִגְרוּף,kefafat igruf,,
🥋,Martial Arts Uniform,Activity,Sport,מַדֵּי קָרָטֶה,madey karate,,
🎽,Running Shirt,Activity,Sport,חֻלְצַת רִיצָה,chultzat ritza,,
🛹,Skateboard,Activity,Sport,סְקֵייטְבּוֹרְד,sekeyytbord,,
🛼,Roller Skate,Activity,Sport,גַּלְגִּלִּיּוֹת,galgiliyot,,
🛷,Sled,Activity,Sport,,,מִזְחֶלֶת,mizchelet
🥌,Curling Stone,Activity,Sport,אֶבֶן קֶרְלִינְג,even kerling,,
🏂,Snowboarder,Activity,Sport,גּוֹלֵשׁ סְנוֹבּוֹרְד,golesh senobord,גּוֹלֶשֶׁת סְנוֹבּוֹרְד,goleshet senobord
🪂,Parachute,Activity,Sport,מַצְנֵחַ,matzneach,,
🏋️,Person Lifting Weights,Activity,Sport,מֵרִים מִשְׁקוֹלוֹת,merim mishkolot,מְרִימָה מִשְׁקוֹלוֹת,merima mishkolot
🤸,Person Cartwheeling,Activity,Sport,עוֹשֶׂה גַּלְגַּל,ose galgal,עוֹשָׂה גַּלְגַּל,osa galgal
🤺,Person Fencing,Activity,Sport,סַיָּף,sayaf,סַיֶּפֶת,sayefet
🤾,Person Playing Handball,Activity,Sport,שַׂחְקַן כַּדּוּרְיָד,sachkan kaduryad,שַׂחְקָנִית כַּדּוּרְיָד,sachkanit kaduryad
🤽,Person Playing Water Polo,Activity,Sport,שַׂחְקַן פּוֹלוֹ מַיִם,sachkan polo mayim,שַׂחְקָנִית פּוֹלוֹ מַיִם,sachkanit polo mayim
🚣,Person Rowing Boat,Activity,Sport,חוֹתֵר,choter,חוֹתֶרֶת,choteret
🏇,Horse Racing,Activity,Sport,מֵרוֹץ סוּסִים,merotz susim,,
⛷️,Skier,Activity,Sport,גּוֹלֵשׁ סְקִי,golesh seki,,
🏌️,Person Golfing,Activity,Sport,שַׂחְקַן גּוֹלְף,sachkan golf,שַׂחְקָנִית גּוֹלְף,sachkanit golf
🏄,Person Surfing,Activity,Sport,גּוֹלֵשׁ,golesh,גּוֹלֶשֶׁת,goleshet
🚵,Person Mountain Biking,Activity,Sport,רוֹכֵב הָרִים,rochev harim,רוֹכֶבֶת הָרִים,rochevet harim
🤹,Person Juggling,Activity,Sport,לַהֲטוּטָן,lahatutan,לַהֲטוּטָנִית,lahatutanit
🧘,Person in Lotus Position,Activity,Sport,יוֹשֵׁב יוֹגָה,yoshev yoga,יוֹשֶׁבֶת יוֹגָה,yoshevet yoga
🏆,Trophy,Activity,Sport,גָּבִיעַ,gaviya,,
🥇,Gold Medal,Activity,Sport,מֵדַלְיַת זָהָב,medalyat zahav,,
🥈,Silver Medal,Activity,Sport,מֵדַלְיַת כֶּסֶף,medalyat kesef,,
🥉,Bronze Medal,Activity,Sport,מֵדַלְיַת אָרָד,medalyat arad,,
🏅,Sports Medal,Activity,Sport,מֵדַלְיַת סְפּוֹרְט,medalyat seport,,
🎖️,Military Medal,Activity,Sport,מֵדַלְיָה צְבָאִית,medalya tzevait,,
🎗️,Reminder Ribbon,Activity,Sport,סֶרֶט תְּזכֹּרֶת,seret tezkoret,,
🎟️,Admission Tickets,Activity,Sport,כַּרְטִיסֵי כְּנִיסָה,kartisey kenisa,,
🎫,Ticket,Activity,Sport,כַּרְטִיס,kartis,,
🎮,Video Game,Activity,Game,מִשְׂחַק וִידֵאוֹ,mischak video,,
🕹️,Joystick,Activity,Game,גֵּ'יסְטִיק,ge'ystik,,
🎰,Slot Machine,Activity,Game,מְכוֹנַת מַזָּל,mechonat mazal,,
🎲,Game Die,Activity,Game,,,קֻבִּיָּה,kubiya
🧩,Puzzle Piece,Activity,Game,חֵלֶק פָּזֶל,chelek pazel,,
🪅,Piñata,Activity,Game,פִּינְיָאטָה,pinyata,,
🪩,Mirror Ball,Activity,Game,כַּדּוּר מַרְאוֹת,kadur marot,,
🪆,Nesting Dolls,Activity,Game,בֻּבּוֹת בְּתוֹךְ בֻּבּוֹת,bubot betoch bubot,,
♟️,Chess Pawn,Activity,Game,חַיָּל שַׁחְמָט,chayal shachmat,,
🎯,Bullseye,Activity,Game,מַטָּרָה,matara,,
🎳,Bowling,Activity,Sport,בָּאוּלִינְג,bauling,,
🎴,Flower Playing Cards,Activity,Game,קְלָפֵי פְּרָחִים,kelafey perachim,,
🀄,Mahjong Red Dragon,Activity,Game,מָאהְגּ'וֹנְג,mahg'ong,,
🃏,Joker,Activity,Game,גּ'וֹקֶר,g'oker,,
🎭,Performing Arts,Activity,Craft,אָמָּנֻיּוֹת בִּמָּה,amanuyot bima,,
🎨,Artist Palette,Activity,Craft,פָּלֵטָה,paleta,,
🧵,Thread,Activity,Craft,חוּט,chut,,
🪡,Sewing Needle,Activity,Craft,מַחַט,machat,,
🧶,Yarn,Activity,Craft,צֶמֶר,tzemer,,
🪢,Knot,Activity,Craft,קֶשֶׁר,kesher,,
🪘,Long Drum,Activity,Music,תֹּף אָרֹךְ,tof aroch,,
🪗,Accordion,Activity,Music,אָקוֹרְדִּיוֹן,akordiyon,,
🪈,Flute,Activity,Music,חָלִיל,chalil,,
📯,Postal Horn,Activity,Music,חֲצוֹצְרַת דֹּאַר,chatzotzrat doar,,
🎙️,Studio Microphone,Activity,Music,מִיקְרוֹפוֹן אוּלְפָּן,mikrofon ulpan,,
🎚️,Level Slider,Activity,Music,מַחְלִיק עָצְמָה,machlik atzma,,
🎛️,Control Knobs,Activity,Music,כַּפְתּוֹרֵי בַּקָּרָה,kaftorey bakara,,
🎼,Musical Score,Activity,Music,תָּוֵי מוּסִיקָה,tavey musika,,
📢,Loudspeaker,Symbol,Audio,רַמְקוֹל,ramkol,,
📣,Megaphone,Symbol,Audio,מֶגָפוֹן,megafon,,
🚃,Railway Car,Travel,Rail,קְרוֹן רַכֶּבֶת,keron rakevet,,
🚄,High-Speed Train,Travel,Rail,רַכֶּבֶת מְהִירָה,rakevet mehira,,
🚅,Bullet Train,Travel,Rail,רַכֶּבֶת כַּדּוּר,rakevet kadur,,
🚆,Train,Travel,Rail,,,רַכֶּבֶת,rakevet
🚇,Metro,Travel,Rail,,,רַכֶּבֶת תַּחְתִּית,rakevet tachtit
🚈,Light Rail,Travel,Rail,,,רַכֶּבֶת קַלָּה,rakevet kala
🚉,Station,Travel,Rail,,,תַּחֲנַת רַכֶּבֶת,tachanat rakevet
🚊,Tram,Travel,Rail,,,חַשְׁמַלִּית,chashmalit
🚝,Monorail,Travel,Rail,,,מוֹנוֹרַיְל,monorayl
🚞,Mountain Railway,Travel,Rail,,,רַכֶּבֶת הָרִים,rakevet harim
🚋,Tram Car,Travel,Rail,,,קְרוֹן חַשְׁמַלִּית,keron chashmalit
🚍,Oncoming Bus,Travel,Land Vehicle,אוֹטוֹבּוּס מִתְקָרֵב,otobus mitkarev,,
🚎,Trolleybus,Travel,Land Vehicle,טְרוֹלֵיבּוּס,teroleybus,,
🚐,Minibus,Travel,Land Vehicle,,,מִינִיבּוּס,minibus
🚖,Oncoming Taxi,Travel,Land Vehicle,מוֹנִית מִתְקָרֶבֶת,monit mitkarevet,,
🚘,Oncoming Automobile,Travel,Land Vehicle,,,מְכוֹנִית מִתְקָרֶבֶת,mechonit mitkarevet
🚙,Sport Utility Vehicle,Travel,Land Vehicle,גִּ'יפ,gi'yf,,
🛻,Pickup Truck,Travel,Land Vehicle,טֶנְדֶּר,tender,,
🚛,Articulated Lorry,Travel,Land Vehicle,,,מַשָּׂאִית סְמִיטְרֵייְלֶר,masait semitreyyler
🚜,Tractor,Travel,Land Vehicle,טְרַקְטוֹר,teraktor,,
🛵,Motor Scooter,Travel,Land Vehicle,קָטְנוֹעַ,katnoa,,
🦽,Manual Wheelchair,Travel,Land Vehicle,כִּסֵּא גַּלְגַּלִּים יָדָנִי,kise galgalim yadani,,
🦼,Motorized Wheelchair,Travel,Land Vehicle,כִּסֵּא גַּלְגַּלִּים מְמֻנָּע,kise galgalim memuna,,
🛺,Auto Rickshaw,Travel,Land Vehicle,רִיקְשָׁה,riksha,,
🚏,Bus Stop,Travel,Sign,,,תַּחֲנַת אוֹטוֹבּוּס,tachanat otobus
🛣️,Motorway,Travel,Sign,,,כְּבִישׁ מָהִיר,kevish mahir
🛤️,Railway Track,Travel,Sign,,,מְסִלַּת רַכֶּבֶת,mesilat rakevet
🛢️,Oil Drum,Travel,Sign,חָבִית נֵפְט,chavit neft,,
⛽,Fuel Pump,Travel,Sign,מַשְׁאֵבַת דֶּלֶק,mashevat delek,,
🛞,Wheel,Travel,Sign,גַּלְגַּל,galgal,,
🚨,Police Car Light,Travel,Sign,,,נוֹרִית מִשְׁטָרָה,norit mishtara
🚥,Horizontal Traffic Light,Travel,Sign,רַמְזוֹר אֲפֻקִּי,ramzor afuki,,
🚦,Vertical Traffic Light,Travel,Sign,רַמְזוֹר,ramzor,,
🛑,Stop Sign,Travel,Sign,תַּמְרוּר עֲצֹר,tamrur atzor,,
🚧,Construction,Travel,Sign,בְּנִיָּה,beniya,,
⚓,Anchor,Travel,Water,,,עֹגֶן,ogen
🛟,Ring Buoy,Travel,Water,,,גַּלְגַּל הַצָּלָה,galgal hatzala
🛶,Canoe,Travel,Water,קָנוֹ,kano,,
🛳️,Passenger Ship,Travel,Water,אֳנִיַּת נוֹסְעִים,oniyat nosim,,
⛴️,Ferry,Travel,Water,,,מַעְבֹּרֶת,maboret
🛥️,Motor Boat,Travel,Water,סִירַת מָנוֹעַ,sirat manoa,,
🛩️,Small Airplane,Travel,Air,מָטוֹס קָטָן,matos katan,,
🛫,Airplane Departure,Travel,Air,מָטוֹס מַמְרִיא,matos mamri,,
🛬,Airplane Arrival,Travel,Air,מָטוֹס נוֹחֵת,matos nochet,,
💺,Seat,Travel,Air,מוֹשָׁב,moshav,,
🚟,Suspension Railway,Travel,Cable,,,רַכֶּבֶל תָּלוּי,rakevel taluy
🚠,Mountain Cableway,Travel,Cable,רַכֶּבֶל הָרִים,rakevel harim,,
🚡,Aerial Tramway,Travel,Cable,רַכֶּבֶל אֲוִירִי,rakevel aviri,,
🛰️,Satellite,Travel,Air,לַוְיָן,lavyan,,
🛎️,Bellhop Bell,Travel,Other,פַּעֲמוֹן מָלוֹן,paamon malon,,
🧳,Luggage,Travel,Other,,,מִזְוָדָה,mizvada
🗺️,World Map,Travel,Other,,,מַפַּת עוֹלָם,mapat olam
🗾,Map of Japan,Travel,Other,מַפַּת יָפָּן,mapat yapan,,
🏗️,Construction Site,Place,Building,אֲתַר בְּנִיָּה,atar beniya,,
🏘️,Houses,Place,Building,בָּתִּים,batim,,
🏚️,Derelict House,Place,Building,בַּיִת נָטוּשׁ,bayit natush,,
🏟️,Stadium,Place,Building,אִצְטַדְיוֹן,itztadyon,,
🏤,Post Office,Place,Building,דֹּאַר אֵירוֹפִּי,doar eyropi,,
🏣,Japanese Post Office,Place,Building,דֹּאַר יָפָּנִי,doar yapani,,
🏨,Hotel,Place,Building,מָלוֹן,malon,,
🏩,Love Hotel,Place,Building,מְלוֹן אַהֲבָה,melon ahava,,
🏬,Department Store,Place,Building,כָּל-בּוֹ,kal-bo,,
🏭,Factory,Place,Building,בֵּית חֲרֹשֶׁת,beyt charoshet,,
🏯,Japanese Castle,Place,Building,טִירָה יָפָּנִית,tira yapanit,,
🗼,Tokyo Tower,Place,Landmark,מִגְדַּל טוֹקְיוֹ,migdal tokyo,,
🗽,Statue of Liberty,Place,Landmark,פֶּסֶל הַחֵרוּת,pesel hacherut,,
⛲,Fountain,Place,Landmark,,,מִזְרָקָה,mizraka
🌃,Night with Stars,Nature,Landscape,לַיְלָה עִם כּוֹכָבִים,layla im kochavim,,
🌄,Sunrise Over Mountains,Nature,Landscape,זְרִיחָה מֵעַל הָרִים,zericha meal harim,,
🌅,Sunrise,Nature,Landscape,,,זְרִיחָה,zericha
🌆,Cityscape at Dusk,Nature,Landscape,עִיר בְּדִמְדּוּמִים,ir bedimdumim,,
🌇,Sunset,Nature,Landscape,,,שְׁקִיעָה,shekiya
🌉,Bridge at Night,Nature,Landscape,גֶּשֶׁר בַּלַּיְלָה,gesher balayla,,
🌁,Foggy,Nature,Landscape,,,עֲרָפֶל,arafel
🌌,Milky Way,Nature,Astronomy,שְׁבִיל הֶחָלָב,shevil hechalav,,
🎠,Carousel Horse,Place,Landmark,קָרוּסֶלָה,karusela,,
🎡,Ferris Wheel,Place,Landmark,גַּלְגַּל עֲנָק,galgal anak,,
🎢,Roller Coaster,Place,Landmark,רַכֶּבֶת הָרִים,rakevet harim,,
🎪,Circus Tent,Place,Landmark,אֹהֶל קִרְקָס,ohel kirkas,,
🏕️,Camping,Nature,Landscape,קֶמְפִּינְג,kemping,,
🏝️,Desert Island,Nature,Landscape,אִי בּוֹדֵד,i boded,,
🏜️,Desert,Nature,Landscape,מִדְבָּר,midbar,,
🌐,Globe with Meridians,Place,Landmark,גְּלוֹבּוּס,gelobus,,
🌍,Globe Showing Europe-Africa,Nature,Landscape,כַּדּוּר הָאָרֶץ,kadur haaretz,,
🌎,Globe Showing Americas,Nature,Landscape,כַּדּוּר הָאָרֶץ,kadur haaretz,,
🌏,Globe Showing Asia-Australia,Nature,Landscape,כַּדּוּר הָאָרֶץ,kadur haaretz,,
🧭,Compass,Object,Compass,,,מַצְפֵּן,matzpen
🌑,New Moon,Nature,Astronomy,יָרֵחַ חָדָשׁ,yareach chadash,,
🌒,Waxing Crescent Moon,Nature,Astronomy,סַהַר גָּדֵל,sahar gadel,,
🌓,First Quarter Moon,Nature,Astronomy,יָרֵחַ רֶבַע רִאשׁוֹן,yareach reva rishon,,
🌔,Waxing Gibbous Moon,Nature,Astronomy,יָרֵחַ גָּדֵל,yareach gadel,,
🌕,Full Moon,Nature,Astronomy,יָרֵחַ מָלֵא,yareach male,,
🌖,Waning Gibbous Moon,Nature,Astronomy,יָרֵחַ קָטֵן,yareach katen,,
🌗,Last Quarter Moon,Nature,Astronomy,יָרֵחַ רֶבַע אַחֲרוֹן,yareach reva acharon,,
🌘,Waning Crescent Moon,Nature,Astronomy,סַהַר קָטֵן,sahar katen,,
🌚,New Moon Face,Nature,Astronomy,יָרֵחַ חָדָשׁ עִם פָּנִים,yareach chadash im panim,,
🌛,First Quarter Moon Face,Nature,Astronomy,יָרֵחַ עִם פָּנִים,yareach im panim,,
